ID	Sex
HG02360	0
HG02364	0
HG02367	0
HG02371	0
HG02373	0
HG02374	0
HG02375	0
HG02379	0
HG02380	0
HG02382	0
HG02383	0
HG02384	0
HG02385	0
HG02386	0
HG02389	0
HG02390	0
HG02391	0
HG02392	0
HG02394	0
HG02395	0
HG02396	0
HG02397	0
HG02398	0
HG02399	0
HG02401	0
HG02402	0
HG02406	0
HG02407	0
HG02408	0
HG02409	0
HG02410	0
HG02419	1
HG02420	0
HG02425	1
HG02427	1
HG02429	0
HG02433	0
HG02439	0
HG02442	0
HG02445	0
HG02449	0
HG02450	1
HG02455	0
HG02461	0
HG02462	1
HG02464	0
HG02465	1
HG02470	0
HG02471	1
HG02476	1
HG02477	1
HG02479	1
HG02481	0
HG02484	0
HG02485	1
HG02489	0
HG02490	0
HG02491	1
HG02493	0
HG02494	1
HG02496	0
HG02497	1
HG02501	0
HG02502	1
HG02505	1
HG02508	1
HG02511	1
HG02512	0
HG02513	1
HG02521	0
HG02522	1
HG02536	0
HG02537	1
HG02541	0
HG02545	0
HG02546	1
HG02549	1
HG02554	0
HG02555	1
HG02557	0
HG02558	1
HG02561	0
HG02562	1
HG02568	1
HG02570	0
HG02571	1
HG02573	0
HG02574	1
HG02577	1
HG02580	1
HG02582	0
HG02583	1
HG02585	0
HG02586	1
HG02588	0
HG02589	1
HG02594	0
HG02595	1
HG02597	0
HG02600	0
HG02601	1
HG02603	0
HG02604	1
HG02610	0
HG02611	1
HG02613	0
HG02614	1
HG02620	0
HG02621	1
HG02623	0
HG02624	1
HG02628	0
HG02629	1
HG02634	0
HG02635	1
HG02642	0
HG02643	1
HG02645	0
HG02646	1
HG02648	0
HG02649	1
HG02651	0
HG02652	1
HG02654	0
HG02655	1
HG02657	0
HG02658	1
HG02660	0
HG02661	1
HG02666	0
HG02667	1
HG02675	0
HG02676	1
HG02678	0
HG02679	1
HG02681	0
HG02682	1
HG02684	0
HG02685	1
HG02687	0
HG02688	1
HG02690	0
HG02691	1
HG02694	1
HG02696	0
HG02697	1
HG02699	0
HG02700	1
HG02702	0
HG02703	1
HG02715	0
